year,state_abbr,state_name,population,violent_crime,"violent crimes per 100,000 people",homicide,"homicides per 100,000 people ",rape_legacy,"rapes legacy per 100,000 people",rape_revised,"rapes revised per 100,000 people",robbery,"robberies per 100,000 people",aggravated_assault,"aggravated assaults per 100,000 people",property_crime,"property crimes per 100,000 people",burglary,"burglaries per 100,000 people",larceny,"larcenies per 100,000 people",motor_vehicle_theft,"motor vehicle theft per 100,000 people",caveats,
1980,WV,West Virginia,1930787,3547,183.71,138,7.15,306,15.85,,0,936,48.48,2167,112.23,45719,2367.89,14258,738.46,27606,1429.78,3855,199.66,,
1980,WY,Wyoming,468954,1841,392.58,29,6.18,134,28.57,,0,208,44.35,1470,313.46,21543,4593.84,4238,903.71,15686,3344.89,1619,345.24,,
1981,,,229465714,1361820,593.47,22520,9.81,82500,35.95,,0,592910,258.39,663900,289.32,12061900,5256.52,3779700,1647.17,7194400,3135.28,1087800,474.06,,
1981,AK,Alaska,412000,2537,615.78,60,14.56,421,102.18,,0,472,114.56,1584,384.47,24634,5979.13,5479,1329.85,16310,3958.74,2845,690.53,,
1981,AL,Alabama,3916000,18423,470.45,465,11.87,1021,26.07,,0,4952,126.46,11985,306.05,173411,4428.27,56811,1450.74,105471,2693.34,11129,284.19,,
1981,AR,Arkansas,2294000,7119,310.33,209,9.11,577,25.15,,0,1776,77.42,4557,198.65,79972,3486.14,24732,1078.12,50959,2221.40,4281,186.62,,
1981,AZ,Arizona,2793000,16082,575.80,227,8.13,1064,38.10,,0,4961,177.62,9830,351.95,196575,7038.13,57655,2064.27,127469,4563.87,11451,409.99,,
1981,CA,California,24159000,208485,862.97,3143,13.01,13566,56.15,,0,93781,388.18,97995,405.63,1625302,6727.52,540806,2238.53,921939,3816.13,162557,672.86,,
1981,CO,Colorado,2963000,15755,531.72,239,8.07,1352,45.63,,0,4726,159.50,9438,318.53,202119,6821.43,60197,2031.62,129658,4375.90,12264,413.90,,
1981,CT,Connecticut,3132000,14033,448.05,168,5.36,687,21.93,,0,7709,246.14,5469,174.62,168790,5389.21,52990,1691.89,96927,3094.73,18873,602.59,,
